sr_no,R,G,drv,Aeq_paper,SRR_1,SRR_2,SRR_5,SRR_10,SRR_15,SRR_20,SRR_25,SRR_30,SRR_35,Avg_V_tangent,Avg_V_curve,Avg_SR,Max_V_curve,age_grp,profession,exp_kmperyear_grp,C_Age_exp_kmperyear,trip_frequency,Speed_limit_on_real_road,Uniq_ID,configurations_RM,Vd_grp,R_grp,G_grp,PTL_grp,CL_grp,SW_grp,EW_grp,C_R_PTL,G_grp_rev,Cluster_both_direction,Cluster_both_direction_nominal,Cluster_both_direction_ordinal,Binary_logistic_H,Binary_logistic_L,Binary_logistic_HM,income_grp,edu_grp,gender_grp,marital_grp,age_2_grp,age_exp_2,age_scale,exp_years_scale,age_2_grp_s,income_grp_s,exp_kmperyear_grp_s,profession_s,pro_nonpro,stu_emplo,Cluster_2RG,mari_exp,occu_exp
1,75,-4,drv1,1.489636795,67,57,30,13,13,10,7,7,7,58.92622701,66.80075481,-7.874527799,69.65765774,1,1,2,2,0,1,75_-4_drv1,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,1,2,25,9,0,0,1,0,0,1,0,2,2
2,75,-4,drv2,2.540763643,75,60,41,30,30,19,15,11,11,73.69545664,76.23829085,-2.542834214,79.30841507,1,1,2,2,0,0,75_-4_drv2,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,1,2,24,4,0,0,1,0,0,1,0,2,2
3,75,-4,drv3,0.741529556,62,59,48,37,31,28,25,23,20,56.82812303,52.21617623,4.611946793,62.32964301,3,3,3,9,0,1,75_-4_drv3,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,2,RG_1,1,0,1,0,3,1,1,1,2,6,50,20,1,2,2,2,1,2,0,6,6
4,75,-4,drv4,1.023068949,63,43,23,23,17,13,13,10,7,70.16941379,57.5837573,12.58565649,70.76726662,2,1,3,6,1,0,75_-4_drv4,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,2,6,26,4,1,0,2,0,0,1,0,3,3
5,75,-4,drv6,2.204981479,80,56,42,31,28,21,21,21,14,63.54508844,70.872627,-7.32753856,74.81657865,1,1,2,2,1,0,75_-4_drv6,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,1,2,24,8,0,0,1,0,0,1,0,2,2
6,75,-4,drv8,1.157155355,47,44,40,34,31,31,28,25,22,62.40853064,60.32030871,2.088221926,65.46770501,1,1,2,2,0,1,75_-4_drv8,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,1,2,24,5,0,0,1,0,0,1,0,2,2
7,75,-4,drv9,0.92370335,80,55,34,25,18,18,9,6,6,65.48750362,56.68456163,8.802941996,67.36563079,2,2,2,5,1,1,75_-4_drv9,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,3,2,1,1,2,5,32,15,1,2,1,1,0,2,0,5,5
8,75,-4,drv10,1.255778317,65,43,31,12,12,9,9,6,3,56.61104574,62.77840559,-6.167359848,63.86314374,1,1,1,1,0,1,75_-4_drv10,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,1,1,24,5,0,0,0,0,0,1,0,1,1
9,75,-4,drv11,0.2521129,79,60,38,24,24,17,12,5,5,46.50451565,47.18470454,-0.680188884,51.6834295,1,1,3,3,0,1,75_-4_drv11,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,2,RG_1,1,0,1,0,1,2,1,0,1,3,25,3,0,0,2,0,0,1,0,3,3
10,75,-4,drv12,1.491778954,63,57,46,31,31,26,26,26,26,56.88665186,54.6779196,2.20873226,60.04228336,1,1,1,1,1,1,75_-4_drv12,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,1,1,23,7,0,0,0,0,0,1,0,1,1
11,75,-4,drv13,0.119019518,45,40,34,22,13,9,7,4,4,43.59812843,45.35558495,-1.757456521,47.12660463,1,2,2,2,0,0,75_-4_drv13,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,2,RG_1,1,0,1,0,2,3,1,1,1,2,24,3,0,1,1,1,0,2,0,5,5
12,75,-4,drv14,1.584032594,80,60,40,30,17,10,7,7,7,63.297021,65.32180356,-2.02478256,73.85951372,2,2,2,5,0,0,75_-4_drv14,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,3,3,1,0,2,5,29,11,1,2,1,1,0,2,0,2,5
13,75,-4,drv15,1.257447491,114,99,65,31,12,6,6,6,6,59.50927042,62.04464135,-2.535370932,63.67658965,1,1,1,1,0,0,75_-4_drv15,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,1,1,24,6,0,0,0,0,0,1,0,1,1
14,75,-4,drv16,3.207761027,89,78,67,52,45,41,34,22,22,73.05651697,77.55757816,-4.501061188,80.18874291,1,2,1,1,0,1,75_-4_drv16,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,3,RG_3,3,1,0,1,2,3,0,0,1,1,25,3,0,1,0,1,0,2,1,1,4
15,75,-4,drv17,0.525868363,71,58,37,24,18,16,10,10,5,48.19783176,52.35299274,-4.155160982,60.34349482,2,2,3,6,1,1,75_-4_drv17,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,2,RG_1,1,0,1,0,3,2,1,0,2,6,30,12,1,2,2,1,0,2,0,3,6
16,75,-4,drv18,0.601094913,57,52,35,14,11,8,8,5,5,52.11573535,53.69322479,-1.577489437,60.73198022,2,2,1,4,0,1,75_-4_drv18,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,2,RG_1,1,0,1,0,2,3,1,0,2,4,28,10,1,1,0,1,0,2,0,1,4
17,75,-4,drv19,0.612131957,54,49,36,28,21,15,13,10,5,45.54024286,52.49725793,-6.957015076,54.42659874,2,3,3,6,1,1,75_-4_drv19,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,2,RG_1,1,0,1,0,2,1,1,1,2,6,35,16,1,1,2,2,1,2,0,6,6
18,75,-4,drv20,0.571170669,57,50,38,26,21,17,17,14,14,39.11602546,49.75343874,-10.63741328,53.06898708,2,1,1,4,0,1,75_-4_drv20,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,2,RG_1,1,0,1,0,1,2,1,0,2,4,26,5,1,0,0,0,0,1,0,1,1
19,75,-4,drv21,0.818742093,73,65,58,36,34,29,27,22,22,47.79542952,49.64504637,-1.849616847,53.01593826,1,1,1,1,0,1,75_-4_drv21,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,1,0,1,1,24,6,0,0,0,0,0,1,0,1,1
20,75,-4,drv22,1.036667081,78,72,61,41,29,17,17,6,6,54.49086146,57.11684125,-2.625979793,68.89793427,3,3,3,9,1,1,75_-4_drv22,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,2,1,1,1,2,6,45,26,1,1,2,2,1,2,0,6,6
21,75,-4,drv24,0.942577811,49,44,36,25,19,14,11,8,8,49.50697025,56.70746105,-7.200490805,59.28633831,3,3,3,9,1,1,75_-4_drv24,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,2,1,1,1,2,6,47,20,1,1,2,2,1,2,0,6,6
22,75,-4,drv25,1.13140231,82,58,45,34,21,21,16,11,11,48.48729368,54.12827957,-5.640985894,57.30255703,1,1,2,2,0,1,75_-4_drv25,75_-4_AtoB,2,1,1,2,1,1,2,2,-1,1,RG_2,2,0,0,1,1,2,0,0,1,2,25,2,0,0,1,0,0,1,0,2,2
